,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,Concentrated
6337,1.0812877716962275,2870,89,55,72,2,0
6338,3.7399030666564546,1582,79,28,53,2,0
6339,2.9574860284427973,1131,67,24,43,2,0
6340,2.722065355726285,340,78,2,16,4,0
6341,1.0309908633708038,472,58,11,23,3,0
6342,3.4033979706501136,1230,97,17,38,3,1
6343,0.7568180411248471,429,57,10,23,3,0
6344,3.718514891455509,2343,93,38,66,2,0
6345,3.2081415089809666,405,87,3,17,4,1
6346,0.5321131519962354,122,45,1,9,5,0
6347,1.8782932678874933,299,91,2,15,5,0
6348,0.570259382174457,791,76,14,34,3,0
6349,1.7067999624722323,360,28,24,27,2,0
6350,3.2051607889927505,1239,80,18,41,2,1
6351,2.4874853458966086,661,56,17,31,2,0
6352,0.9940266580241222,3209,89,63,81,2,0
6353,2.7697461336308873,886,76,15,31,3,0
6354,2.279319407142818,3380,85,73,83,2,0
6355,1.4441174707142799,898,82,15,33,3,0
6356,1.5036553539348891,2187,88,40,61,2,0
6357,1.4007104265116803,616,45,20,35,2,0
6358,2.753555801189064,342,35,15,26,2,0
6359,4.363051640411225,233,32,9,23,3,1
6360,1.3843036360429224,600,47,17,36,2,0
6361,2.7467580588884837,1796,77,38,57,2,0
6362,4.1969716442340665,1272,92,16,39,2,1
6363,1.2740664303523044,1298,53,44,52,2,0
6364,3.6521134184560706,934,75,16,35,3,0
6365,3.0587082765325015,1378,98,15,40,3,0
6366,1.8468174831846982,1059,63,22,42,2,0
6367,0.6057425826133431,445,48,11,26,2,0
6368,4.204860733290172,2185,75,51,69,2,0
6369,2.0002252252588684,1213,60,33,49,2,0
6370,1.1522631647517856,2592,99,40,63,2,0
6371,4.187770557738601,1356,66,31,52,2,0
6372,1.2794711013875069,694,68,14,31,3,0
6373,1.5551862281531497,4542,98,88,97,2,0
6374,1.5084566309517506,1236,52,44,51,2,0
6375,3.9844997672876605,1889,89,33,57,2,1
6376,0.8545060462312191,214,32,8,23,3,0
6377,2.460121579565178,1272,73,27,47,2,0
6378,2.7351552463774227,51,25,1,8,4,0
6379,0.7595286407423814,1605,58,52,57,2,0
6380,3.540286943449221,368,35,16,27,2,1
